Material,Temperature_C,Yield_Strength_MPa,Tensile_Strength_MPa,Elastic_Modulus_GPa,Thermal_Conductivity_W_mK
AISI 4140 Steel,-40,862,965,210,43.0
AISI 4140 Steel,20,655,860,200,42.6
AISI 4140 Steel,100,585,800,197,42.0
AISI 4140 Steel,200,525,740,192,41.0
AISI 4140 Steel,300,480,680,186,40.0
AISI 4140 Steel,400,410,610,178,38.5
AISI 4140 Steel,500,320,520,167,37.0
AISI 4140 Steel,600,200,350,150,35.0
Aluminum 6061-T6,-40,320,370,71,168
Aluminum 6061-T6,20,276,310,69,167
Aluminum 6061-T6,50,260,295,68,166
Aluminum 6061-T6,100,240,275,67,163
Aluminum 6061-T6,150,190,230,66,160
Aluminum 6061-T6,200,130,165,65,156
Aluminum 6061-T6,250,70,90,63,152
Aluminum 6061-T6,300,35,50,60,147
Titanium Ti-6Al-4V,-40,1000,1050,116,7.1
Titanium Ti-6Al-4V,20,880,950,114,6.7
Titanium Ti-6Al-4V,100,810,885,111,7.0
Titanium Ti-6Al-4V,200,735,820,107,7.4
Titanium Ti-6Al-4V,300,670,760,102,7.8
Titanium Ti-6Al-4V,400,585,680,96,8.5
Titanium Ti-6Al-4V,500,500,600,91,9.3
Titanium Ti-6Al-4V,600,400,500,82,10.2
Inconel 718,-40,1100,1380,204,11.4
Inconel 718,20,1034,1275,200,11.4
Inconel 718,100,1000,1240,199,12.2
Inconel 718,200,970,1200,197,13.2
Inconel 718,300,940,1160,193,14.5
Inconel 718,400,910,1130,189,15.8
Inconel 718,500,880,1100,185,17.0
Inconel 718,600,860,1070,181,18.4
Inconel 718,700,820,1030,176,19.9
Inconel 718,800,730,950,168,21.5
AISI 304 Stainless,-40,295,640,200,14.0
AISI 304 Stainless,20,205,515,193,16.2
AISI 304 Stainless,100,175,460,192,16.9
AISI 304 Stainless,200,155,420,187,17.8
AISI 304 Stainless,300,140,385,183,18.7
AISI 304 Stainless,400,130,360,176,19.6
AISI 304 Stainless,500,120,335,169,20.5
AISI 304 Stainless,600,115,310,159,21.4
Nylon 66 (PA66),-40,100,110,5.5,0.25
Nylon 66 (PA66),20,59,82,2.8,0.24
Nylon 66 (PA66),50,48,70,2.0,0.24
Nylon 66 (PA66),80,25,45,1.2,0.23
Nylon 66 (PA66),100,12,22,0.8,0.23
Nylon 66 (PA66),130,5,10,0.4,0.22
